5940,Seitokai no Ichizon
5941,Seiken no Blacksmith
5958,Cross Game
6007,Sora no Otoshimono
6030,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu
6033,Needless
6045,Dragon Ball Kai
6114,Kimi ni Todoke
6127,Rainbow: Nisha Rokubou no Shichinin
6164,Toradora!: SOS! Kuishinbou Banbanzai
6166,Aoi Hana
6201,Asobi ni Iku yo!
6205,Princess Lover!
6211,Kämpfer
6213,Tokyo Magnitude 8.0
6324,Toaru Kagaku no Railgun
6325,Omamori Himari
6347,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono
6351,Baka to Test to Shoukanjuu
6372,Clannad: After Story - Mou Hitotsu no Sekai Kyou-hen
6377,Higashi no Eden Movie I: The King of Eden
6421,Zan Sayonara Zetsubou Sensei
6444,Fullmetal Alchemist: Brotherhood Specials
6500,Tegamibachi
6512,Seikon no Qwaser
6547,Nyan Koi!
6572,Angel Beats!
6573,Shakugan no Shana S
6594,Darker than Black: Ryuusei no Gemini
6637,Katanagatari
6675,Higashi no Eden Movie II: Paradise Lost
6682,Redline
6702,11eyes
6707,Fairy Tail
6746,Kuroshitsuji II
6747,Durarara!!
6772,Dance in the Vampire Bund
6773,Break Blade 1: Kakusei no Toki
6802,Shakugan no Shana III (Final)
6811,So Ra No Wo To
6862,InuYasha: Kanketsu-hen
6880,K-On!: Live House!
6895,Deadman Wonderland
6922,Hakuouki
6956,Fate/stay night Movie: Unlimited Blade Works
6974,Working!!
7054,Seikimatsu Occult Gakuin
7058,Kaichou wa Maid-sama!
7059,Uragiri wa Boku no Namae wo Shitteiru
7079,Black★Rock Shooter (OVA)
7088,Ookamikakushi
7148,Ichiban Ushiro no Daimaou
7193,Ladies versus Butlers!
7311,Aoi Bungaku Series
7338,Suzumiya Haruhi no Shoushitsu
7465,Darker than Black: Kuro no Keiyakusha Gaiden
7590,Eve no Jikan (Movie)
7592,Mayoi Neko Overrun!
7593,Nurarihyon no Mago
7627,Kiss x Sis (TV)
7647,Mitsudomoe
7662,Arakawa Under the Bridge
7674,Shinrei Tantei Yakumo
7711,Bakuman.
7724,Karigurashi no Arrietty
7769,Shiki
7785,Ookami-san to Shichinin no Nakama-tachi
7791,Yojouhan Shinwa Taikei
7817,K-On!!
8074,B-gata H-kei
8086,Highschool of the Dead
8129,Densetsu no Yuusha no Densetsu
8142,Kuragehime
8246,Colorful (Movie)
8247,Naruto: Shippuuden Movie 4 - The Lost Tower
8277,Bleach Movie 4: Jigoku-hen
8407,Hyakka Ryouran: Samurai Girls
8408,Sora no Otoshimono: Forte
8424,Durarara!! Specials
8425,MM!
8426,Gosick
8449,Hourou Musuko
8460,Togainu no Chi
8476,Mirai Nikki
8516,Otome Youkai Zakuro
8525,Baka to Test to Shoukanjuu Ni!
8536,Kami nomi zo Shiru Sekai
8557,Fortune Arterial: Akai Yakusoku
8630,Shinryaku! Ika Musume
8675,Hidan no Aria
8676,Seitokai Yakuindomo
8768,Amagami SS
